Batch,Cost
114,0.2601435565119596
115,0.2658047250181104
116,0.26966610728374346
117,0.24234012753666184
118,0.2872989005672107
119,0.2584130237932879
120,0.24205727133262736
121,0.27924626633148125
122,0.2568651214002109
123,0.29524812854409754
124,0.3183047810905476
125,0.2859874238467416
126,0.28517112684810614
127,0.2677576087959556
128,0.32208444632516836
129,0.24475955743411515
130,0.2588929201549172
131,0.2604083017133585
132,0.278470138399461
133,0.29814642622794113
134,0.24428346709918425
135,0.24866135677742549
136,0.27376250998329593
137,0.24343683429480506
138,0.22880426161445222
139,0.2353640906263866
140,0.2137428937945508
141,0.24515695601695253
142,0.27329520191937495
143,0.22730264136797718
144,0.22335413903893073
145,0.22004561763963576
146,0.20055275857197877
147,0.23192914546964905
148,0.22906397734585546
149,0.22867849775999483
150,0.22784133858529498
151,0.18615870809951182
152,0.22158513111296266
153,0.2351612761858835
154,0.20513542935114398
155,0.20596017504520148
156,0.22019046509229995
157,0.25094214739862963
158,0.22761449794645697
159,0.23173705653318422
160,0.22089400643496832
161,0.2180999405393991
162,0.22235261999652078
163,0.22910457522648836
164,0.21795125785099537
165,0.2107334880366739
166,0.22854184783242673
167,0.209999705914804
168,0.1974344938224192
169,0.26954027977368555
170,0.21551070541774686
171,0.2105817235735137
172,0.1846745959972491
173,0.21217499238910978
174,0.2048596811044383
175,0.1987573335843454
176,0.22112157332915824
177,0.2248963596944688
178,0.19695582787108407
179,0.17712195817533488
180,0.22907682190800316
181,0.2047133881065329
182,0.18607274798113085
183,0.20437890674491052
184,0.2048272010299842
185,0.23386757339119624
186,0.2523221967668092
187,0.17348485966045868
188,0.2214050374480142
189,0.16814800769029795
190,0.17844734730139503
191,0.20424964053113384
192,0.18007962773710143
193,0.2025856674617402
194,0.24200151530950176
195,0.19959787801710277
196,0.17144199562508658
197,0.17830769340578112
198,0.16884676794457668
199,0.21991346384204064
200,0.19910781088520707
201,0.19966030856672984
202,0.22653029211297557
203,0.20580424937153263
204,0.16473628393806397
205,0.23227853711847143
206,0.2222172920581955
207,0.18010687194892466
208,0.18611996349787369
209,0.23088816381179605
210,0.23464539759493733
211,0.18317972318155631
212,0.20147679019918713
213,0.15091347566216948
214,0.17899717252908784
215,0.1447169716491329
216,0.165041890919669
217,0.16873931451237292
218,0.20328010210874115
219,0.17622940040039137
220,0.1705405622924892
221,0.19329857876762568
222,0.1518217676770772
223,0.18788763484674953
224,0.14834854483637325
225,0.24177230011056114
226,0.19690563065236127
227,0.21040276235667835
228,0.18116799876469997
229,0.18222869580859563
230,0.17547951573848702
231,0.14035258635539194
